epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
144,0.46941,0.86823,0.96696,0.60129,0.83300,0.96080,5.000000000000002e-06,176.84956
145,0.46548,0.86923,0.96628,0.60020,0.83220,0.96040,5.000000000000002e-06,176.93509
146,0.47130,0.86793,0.96670,0.60068,0.83300,0.96060,5.000000000000002e-06,176.92327
147,0.47233,0.86644,0.96617,0.60200,0.83280,0.96140,5.000000000000002e-06,176.79493
148,0.46960,0.86760,0.96598,0.60120,0.83300,0.96120,5.000000000000002e-06,219.40213
149,0.47054,0.86839,0.96564,0.60031,0.83320,0.96100,5.000000000000002e-06,176.86225
150,0.47163,0.86813,0.96652,0.60082,0.83300,0.96120,5.000000000000002e-07,176.92707
151,0.47079,0.86735,0.96596,0.60172,0.83380,0.96100,5.000000000000002e-07,176.79812
152,0.47035,0.86873,0.96591,0.59932,0.83180,0.96100,5.000000000000002e-07,176.86467
153,0.47303,0.86783,0.96552,0.60130,0.83420,0.96080,5.000000000000002e-07,176.96408
154,0.47242,0.86798,0.96619,0.60158,0.83440,0.96160,5.000000000000002e-07,176.99337
155,0.47121,0.86710,0.96573,0.60204,0.83340,0.96200,5.000000000000002e-07,176.66917
156,0.46590,0.86876,0.96695,0.60101,0.83460,0.96160,5.000000000000002e-07,176.87019
157,0.47065,0.86854,0.96634,0.60188,0.83260,0.96100,5.000000000000002e-07,176.90515
158,0.46432,0.86938,0.96696,0.60161,0.83260,0.96160,5.000000000000002e-07,176.76804
159,0.47043,0.86748,0.96601,0.59872,0.83440,0.96080,5.000000000000002e-07,176.95271
160,0.47073,0.86812,0.96623,0.60124,0.83220,0.96100,5.000000000000002e-07,176.73566
